original;corrected
«Барство дикое» (1) несовместимо со свободой (2) гимн (3) которой (4) прозвучал уже в ранних стихах Пушкина.;«Барство дикое» NUM несовместимо со свободой NUM гимн NUM которой NUM прозвучал уже в ранних ямбах Пушкина.
«Барство дикое» (1) несовместимо со свободой (2) гимн (3) которой (4) прозвучал уже в ранних стихах Пушкина.;«Барство дикое» NUM несовместимо со свободой NUM гимн NUM которой NUM прозвучал уже в зрелых стихах Пушкина.
«Барство дикое» (1) несовместимо со свободой (2) гимн (3) которой (4) прозвучал уже в ранних стихах Пушкина.;«Барство дикое» NUM несовместимо со свободой NUM гимн NUM которой NUM прозвучал уже в поздних стихах Пушкина.
«Барство дикое» (1) несовместимо со свободой (2) гимн (3) которой (4) прозвучал уже в ранних стихах Пушкина.;«Барство дикое» NUM несовместимо со свободой NUM гимн NUM которой NUM прозвучал уже в ранних гекзаметрах Пушкина.
«Барство дикое» (1) несовместимо со свободой (2) гимн (3) которой (4) прозвучал уже в ранних стихах Пушкина.;«Барство дикое» NUM несовместимо со свободой NUM гимн NUM которой NUM прозвучал уже в ранних стихах Пушкина.
«Весёлое лукавство ума, насмешливость и живописный способ выражаться» А. С. Пушкин (1) как известно (2) считал неотъемлемыми свойствами русского характера. Эти свойства (3) конечно (4) отразились в поэзии и прозе Александра Сергеевича.;«Весёлое лукавство ума, насмешливость и живописный способ выражаться» А. С. Пушкин NUM как известно NUM считал неотъемлемыми свойствами русского характера. Эти свойства NUM конечно NUM отразились в поэзии и прозе Александра игоревича.
А мать всё рассказывала и рассказывала о своём счастье (1) и (2) хотя слова её были самыми обыкновенными (3) у Вероники вдруг сладко защемило сердце (4) будто и оно отозвалось на нечаянное счастье.;А мать всё рассказывала и рассказывала о своём счастье NUM и NUM хотя слова её были самыми обыкновенными NUM у Вероники вдруг сладко защемило сердце NUM будто и оно отозвалось на нечаянное несчастье.
А мать всё рассказывала и рассказывала о своём счастье (1) и (2) хотя слова её были самыми обыкновенными (3) у Вероники вдруг сладко защемило сердце (4) будто и оно отозвалось на нечаянное счастье.;А мать всё рассказывала и рассказывала о своём счастье NUM и NUM хотя слова её были самыми обыкновенными NUM у Вероники вдруг сладко защемило сердце NUM будто и оно отозвалось на нечаянное щастье.
А мать всё рассказывала и рассказывала о своём счастье (1) и (2) хотя слова её были самыми обыкновенными (3) у Вероники вдруг сладко защемило сердце (4) будто и оно отозвалось на нечаянное счастье.;А мать всё рассказывала и рассказывала о своём счастье NUM и NUM хотя слова её были самыми обыкновенными NUM у Вероники вдруг сладко защемило сердце NUM будто и оно отозвалось на нежданное счастье.
А мать всё рассказывала и рассказывала о своём счастье (1) и (2) хотя слова её были самыми обыкновенными (3) у Вероники вдруг сладко защемило сердце (4) будто и оно отозвалось на нечаянное счастье.;А мать всё рассказывала и рассказывала о своём счастье NUM и NUM хотя слова её были самыми обыкновенными NUM у Вероники вдруг сладко защемило сердце NUM будто и оно отозвалось на горестное счастье.
А мать всё рассказывала и рассказывала о своём счастье (1) и (2) хотя слова её были самыми обыкновенными (3) у Вероники вдруг сладко защемило сердце (4) будто и оно отозвалось на нечаянное счастье.;А мать всё рассказывала и рассказывала о своём счастье NUM и NUM хотя слова её были самыми обыкновенными NUM у Вероники вдруг сладко защемило сердце NUM будто и оно отозвалось на нечаянное благополучье.
А мать всё рассказывала и рассказывала о своём счастье (1) и (2) хотя слова её были самыми обыкновенными (3) у Вероники вдруг сладко защемило сердце (4) будто и оно отозвалось на нечаянное счастье.;А мать всё рассказывала и рассказывала о своём счастье NUM и NUM хотя слова её были самыми обыкновенными NUM у Вероники вдруг сладко защемило сердце NUM будто и оно отозвалось на нечаянное счастье.
