sentence_id;raw;correct;type;correct_indexes
0;«Барство дикое» (1) несовместимо со свободой (2) гимн (3) которой (4) прозвучал уже в ранних стихах Пушкина.;«Барство дикое» несовместимо со свободой, гимн которой прозвучал уже в ранних стихах Пушкина.;19;['(2)']
;«Весёлое лукавство ума, насмешливость и живописный способ выражаться» А. С. Пушкин (1) как известно (2) считал неотъемлемыми свойствами русского характера. Эти свойства (3) конечно (4) отразились в поэзии и прозе Александра Сергеевича.;«Весёлое лукавство ума, насмешливость и живописный способ выражаться» А. С. Пушкин, как известно, считал неотъемлемыми свойствами русского характера. Эти свойства, конечно, отразились в поэзии и прозе Александра Сергеевича.;18;['(1)', '(2)', '(3)', '(4)']
3;А мать всё рассказывала и рассказывала о своём счастье (1) и (2) хотя слова её были самыми обыкновенными (3) у Вероники вдруг сладко защемило сердце (4) будто и оно отозвалось на нечаянное счастье.;А мать всё рассказывала и рассказывала о своём счастье, и, хотя слова её были самыми обыкновенными, у Вероники вдруг сладко защемило сердце, будто и оно отозвалось на нечаянное счастье.;20;['(1)', '(2)', '(3)', '(4)']
4;Большой пруд (1) густо заросший кувшинками (2) располагался (3) в удалённой от дома (4) части старого парка.;Большой пруд, густо заросший кувшинками, располагался в удалённой от дома части старого парка.;17;['(1)', '(2)']
5;А старушка всё говорила о счастье (1) и (2) хотя слова её были привычными (3) но у внука от них щемило сердце (4) словно всё услышанное происходило с ним.;А старушка всё говорила о счастье, и хотя слова её были привычными, но у внука от них щемило сердце, словно всё услышанное происходило с ним.;20;['(1)', '(3)', '(4)']
6;А уже через час оба сидели за шатким столиком (1) и (2) упираясь друг в друга головами (3) читали длинный список драгоценностей (4) некогда принадлежавших тёще Ипполита Матвеевича.;А уже через час оба сидели за шатким столиком и, упираясь друг в друга головами, читали длинный список драгоценностей, некогда принадлежавших тёще Ипполита Матвеевича.;17;['(2)', '(3)', '(4)']
7;А. С. Пушкин (1) осуждает ложное понимание чести у героя (2) на совести (3) которого (4) множество загубленных жизней.;А. С. Пушкин осуждает ложное понимание чести у героя, на совести которого множество загубленных жизней.;19;['(2)']
8;Австралийские учёные обнаружили небольшую планету, состоящую (1) вероятно (2) из кристаллического углерода и являющуюся (3) по их предположениям (4) алмазом.;Австралийские учёные обнаружили небольшую планету, состоящую, вероятно, из кристаллического углерода и являющуюся, по их предположениям, алмазом.;18;['(1)', '(2)', '(3)', '(4)']
;Агрономы часто используют некоторые качества живых организмов в своих целях. Так (1) например (2) в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других (3) то есть (4) являются своеобразной биологической стражей.;Агрономы часто используют некоторые качества живых организмов в своих целях. Так, например, в сельском хозяйстве одни виды организмов служат для защиты урожая от вредного воздействия других, то есть являются своеобразной биологической стражей.;18;['(1)', '(2)', '(3)']
11;Ипполит Матвеевич (1) томясь стыдом (2) стоял под акацией и (3) не глядя на гуляющих (4) твердил три заученные фразы.;Ипполит Матвеевич, томясь стыдом, стоял под акацией и, не глядя на гуляющих, твердил три заученные фразы.;17;['(1)', '(2)', '(3)', '(4)']
12;Перелистывая страницы (1) принесённой из кабинета (2) книги (3) отец остановился у приоткрытой двери (4) прислушиваясь к разговору на кухне.;Перелистывая страницы принесённой из кабинета книги, отец остановился у приоткрытой двери, прислушиваясь к разговору на кухне.;17;['(3)', '(4)']
13;Алексей Павлович вставал с ранней зарёй (1) и (2) когда он вдыхал напоённый влажным запахом росы прохладный воздух (3) на душе у него становилось (4) легко и просторно.;Алексей Павлович вставал с ранней зарёй, и, когда он вдыхал напоённый влажным запахом росы прохладный воздух, на душе у него становилось легко и просторно.;20;['(1)', '(2)', '(3)']
14;Амбра (1) долго пробывшая в морской воде (2) или специально очищенная (3) имеет едва уловимый (4) запах жасмина.;Амбра, долго пробывшая в морской воде или специально очищенная, имеет едва уловимый запах жасмина.;17;['(1)', '(3)']
15;Анастасия сказала (1) что трава – это зарастание памяти о человеке (2) и (3) что (4) пока есть кому с этой травою справляться (5) человек каким-то образом на земле ещё присутствует.;Анастасия сказала, что трава – это зарастание памяти о человеке и что, пока есть кому с этой травою справляться, человек каким-то образом на земле ещё присутствует.;20;['(1)', '(4)', '(5)']
16;Андрей подхватил рюкзак (1) и (2) когда показался локомотив поезда (3) и пёстрая толпа пассажиров пришла в движение (4) направился к перрону.;Андрей подхватил рюкзак и, когда показался локомотив поезда и пёстрая толпа пассажиров пришла в движение, направился к перрону.;20;['(2)', '(4)']
17;Аппаратура для точных измерений (1) на приобретение (2) которой (3) фирма выделила столь внушительные средства (4) является совершенно необходимой для дальнейшей работы над проектом.;Аппаратура для точных измерений, на приобретение которой фирма выделила столь внушительные средства, является совершенно необходимой для дальнейшей работы над проектом.;19;['(1)', '(4)']
18;Арагва (1) обнявшись с (2) шумно вырывающейся из полного мглою ущелья (3) речкой (4) тянется серебряной нитью и сверкает, как змея своей чешуёй.;Арагва, обнявшись с шумно вырывающейся из полного мглою ущелья речкой, тянется серебряной нитью и сверкает, как змея своей чешуёй.;17;['(1)', '(4)']
19;Бабушкиной страстью были цветы (1) так что (2) если у каких-то из растений начинали сохнуть кончики (3) или цветение было недостаточно пышным (4) она крутилась возле них дни напролёт (5) и (6) когда всё получалось (7) часами любовалась своим маленьким домашним садом.;Бабушкиной страстью были цветы, так что, если у каких-то из растений начинали сохнуть кончики или цветение было недостаточно пышным, она крутилась возле них дни напролёт и, когда всё получалось, часами любовалась своим маленьким домашним садом.;20;['(1)', '(2)', '(4)', '(6)', '(7)']
20;Базаров (1) вставший было навстречу (2) вошедшему в комнату (3) Павлу Петровичу (4) присел на край стола и скрестил на груди руки.;Базаров, вставший было навстречу вошедшему в комнату Павлу Петровичу, присел на край стола и скрестил на груди руки.;17;['(1)', '(4)']
21;Банковский кредит — выдаваемая на какой-либо срок ссуда (1) в пределах (2) которой (3) возможен расход (4) на определённую потребность.;Банковский кредит — выдаваемая на какой-либо срок ссуда, в пределах которой возможен расход на определённую потребность.;19;['(1)']
22;Библиотека открывалась в восемь утра (1) и (2) хотя в такие ранние часы посетителей никогда не было (3) Нина Ивановна никогда не позволяла себе опаздывать (4) и приходила даже чуть раньше.;Библиотека открывалась в восемь утра, и, хотя в такие ранние часы посетителей никогда не было, Нина Ивановна никогда не позволяла себе опаздывать и приходила даже чуть раньше.;20;['(1)', '(2)', '(3)']
23;Боец (1) быстро подхватив ружьё (2) и (3) вложив ногу в узкое стремя (4) сел в седло.;Боец, быстро подхватив ружьё и вложив ногу в узкое стремя, сел в седло.;17;['(1)', '(4)']
24;Более всего П. И. Чайковского вдохновляла поэзия А. С. Пушкина (1) по произведениям (2) которого (3) он создал лучшие свои оперы.;Более всего П. И. Чайковского вдохновляла поэзия А. С. Пушкина, по произведениям которого он создал лучшие свои оперы.;19;['(1)']
25;Большие (1) светлые здания (2) окна которых (3) отражали первые солнечные лучи (4) бежали по обе стороны дороги.;Большие светлые здания, окна которых отражали первые солнечные лучи, бежали по обе стороны дороги.;19;['(2)', '(4)']
26;Большую роль в операх Чайковского играет оркестр (1) в разных партиях (2) которого (3) нередко развиваются самостоятельные музыкальные темы.;Большую роль в операх Чайковского играет оркестр, в разных партиях которого нередко развиваются самостоятельные музыкальные темы.;19;['(1)']
27;Бурный поток (1) в широком размахе (2) которого (3) ничто не напоминало обычно тихую и спокойную речушку (4) стал неприятным сюрпризом для путешественников.;Бурный поток, в широком размахе которого ничто не напоминало обычно тихую и спокойную речушку, стал неприятным сюрпризом для путешественников.;19;['(1)', '(4)']
28;Были заложены основы единой религиозной системы (1) важной частью (2) которой (3) было развенчание языческих культов(4) которые были распространены среди населения.;Были заложены основы единой религиозной системы, важной частью которой было развенчание языческих культов, которые были распространены среди населения.;19;['(1)', '(4)']
29;Было впечатление (1) что мы волшебным образом побывали в чудесной стране (2) где алые лилии и красная рябина (3) где всё яснее и красивее (4) чем всегда было вокруг.;Было впечатление, что мы волшебным образом побывали в чудесной стране, где алые лилии и красная рябина, где всё яснее и красивее, чем всегда было вокруг.;20;['(1)', '(2)', '(3)', '(4)']
30;В «Фаталисте» (1) Печорин рассказывает о происшествии (2) свидетелем (3) которого (4) он был.;В «Фаталисте» Печорин рассказывает о происшествии, свидетелем которого он был.;19;['(2)']
31;В 80-е годы XIX века Шишкин (1) создаёт много картин (2) в сюжетах (3) которых (4) он по-прежнему обращается к жизни русского леса, русских лугов и полей.;В 80-е годы XIX века Шишкин создаёт много картин, в сюжетах которых он по-прежнему обращается к жизни русского леса, русских лугов и полей.;19;['(2)']
32;Смешиваясь с солёными морскими ветрами (1) запах цитрусовых (2) создаёт (3) целебно действующую (4) на людей атмосферу.;Смешиваясь с солёными морскими ветрами, запах цитрусовых создаёт целебно действующую на людей атмосферу.;17;['(1)']
33;В Академии художеств В. И. Суриков учился (1) по его словам (2) «со страшной жадностью к занятиям» и при таком усердии (3) разумеется (4) окончил её с золотой медалью.;В Академии художеств В. И. Суриков учился, по его словам, «со страшной жадностью к занятиям» и при таком усердии, разумеется, окончил её с золотой медалью.;18;['(1)', '(2)', '(3)', '(4)']
